English Word,True Transliteration,Predicted Transliteration
ank,अंक,अंक
anka,अंक,अनका
ankit,अंकित,अनकित
anakon,अंकों,अनाकों
ankhon,अंकों,अंखों
ankon,अंकों,अंकों
angkor,अंकोर,एंगकॉर
ankor,अंकोर,अंकोर
angaarak,अंगारक,अंगारक
angarak,अंगारक,अंगरक
angraji,अंग्रज़ी,अंग्रजी
angreji,अंग्रज़ी,अंग्रेजी
angrzi,अंग्रज़ी,अंग्जी
antah,अंतः,अंतः
antaha,अंतः,अंतः
antarmukh,अंतर्मुख,अंतरमुख
antmurkh,अंतर्मुख,अंतमूर्ख
antrmukh,अंतर्मुख,अंतरमुख
andrabee,अंद्राबी,अंद्रबी
andrabi,अंद्राबी,अंद्रबी
andha,अंधा,अंधा
andhapan,अंधापन,अंधापन
andheri,अंधेरी,आंधेरी
ambaani,अंबानी,अंबानी
ambani,अंबानी,अंबेनी
akram,अकरम,अक्रम
acapulco,अकापुल्को,अकापुल्को
akapulko,अकापुल्को,अकपूलको
akhand,अखंड,अखंड
akhil,अखिल,अखिल
agavai,अगवाई,अगवाई
agvaai,अगवाई,अगवाई
augustine,अगस्टाइन,अगस्टीन
augustustine,अगस्टाइन,अगस्टस्टिन
agsta,अगस्ता,अजस्सता
agusta,अगस्ता,अगुस्ता
augusta,अगस्ता,अगस्ता
agr,अग्र,एग्र
agra,अग्र,आगरा
achambha,अचंभा,अचंभा
achanbha,अचंभा,अचंभा
achievement,अचीवमेंट,अचिवेमेंट
achivement,अचीवमेंट,अछिवेमेंट
acchi,अच्छी,अच्छी
achchi,अच्छी,अच्छी
achhi,अच्छी,अछी
achyut,अच्युत,अछूत
achhanera,अछनेरा,अच्चनेरा
achnera,अछनेरा,अचनेरा
ajmeedh,अजमीढ़,अजमीध
ajhar,अजहर,अझार
azhar,अजहर,अझार
ajit,अजित,अजीत
agnat,अज्ञात,अज्ञात
agyaat,अज्ञात,अज्ञात
agyat,अज्ञात,अज्ञात
atakta,अटकता,अटकता
atkata,अटकता,अटकता
atake,अटके,अटके
atke,अटके,अटके
atwaal,अटवाल,अतवाल
atwal,अटवाल,अतवाल
attahasa,अट्टहास,अट्ताहसा
atthaas,अट्टहास,अट्थास
atthas,अट्टहास,अट्थस
addon,अड्डों,अड्डों
athak,अथक,अथक
atharv,अथर्व,अथर्व
atharva,अथर्व,अठर्व
adad,अदद,अदाद
adaani,अदाणी,अदानी
adani,अदाणी,अदानी
advait,अद्वैत,अद्वैत
adwait,अद्वैत,अद्वैत
advaitvaad,अद्वैतवाद,अदवैत्वाद
advaitwad,अद्वैतवाद,अदवैत्वाद
adhivas,अधिवास,अधिवास
adhiwas,अधिवास,अधिवास
advivas,अधिवास,अद्विवास
adhiik,अधीक,अधीक
adhik,अधीक,अधिक
